,车型_品牌,车主报价（万）,新车指导价（万）,车牌注册日期,里程（万公里）,排量,变速箱,车龄
9651,别克 君越 2012款 2.4L SIDI舒适版,6.88,24.63,2012,9.0,2.4L,0,9
9652,别克 英朗 2015款 18T 双离合豪华型,6.3,16.38,2015,8.0,1.4T,0,6
9653,别克GL8 2017款 ES 28T 舒适型 国V,26.7,31.47,2018,6.34,2.0T,0,3
9654,别克 威朗 2018款 三厢 15S 自动领先型,8.46,16.81,2018,7.66,1.5L,0,3
9655,别克 阅朗 2019款 18T 自动互联精英型 国VI,8.28,15.08,2019,3.95,1.4T,0,2
9656,别克GL8 2018款 ES 28T 旗舰型 国VI,31.28,43.41,2018,5.98,2.0T,0,3
9657,别克GL8 2018款 28T 豪华型 国VI,21.88,27.45,2019,4.7,2.0T,0,2
9658,别克 君威 2019款 GS 28T 精英型 国VI,16.8,23.75,2019,1.45,2.0T,0,2
9659,别克 英朗 2017款 15N 自动精英型,6.5,13.77,2017,4.77,1.5L,0,4
9660,别克 君越 2018款 20T 精英型,16.88,26.03,2019,3.55,1.5T,0,2
9661,别克GL8 2018款 ES 28T 舒适型 国VI,29.3,31.47,2019,3.57,2.0T,0,2
9662,别克 君越 2018款 20T 精英型,15.18,26.03,2018,5.2,1.5T,0,3
9663,别克GL8 2017款 25S 舒适型 国V,17.5,24.95,2017,9.1,2.5L,0,4
9664,别克GL8 2018款 ES 28T 舒适型 国VI,27.99,31.47,2019,2.96,2.0T,0,2
9665,别克GL8 2017款 25S 舒适型 国V,18.58,24.95,2018,4.0,2.5L,0,3
9666,别克 君威 2020款 GS 28T 尊贵型,19.56,27.12,2020,0.67,2.0T,0,1
9667,别克 君越 2020款 652T 豪华型,19.58,26.03,2020,0.74,2.0T,0,1
9668,别克 英朗 2019款 15T 双离合互联精英型 国VI,6.8,13.99,2019,3.46,1.0T,0,2
9669,别克GL8 2018款 ES 28T 舒适型 国VI,28.8,31.47,2020,1.5,2.0T,0,1
9670,别克 凯越 2011款 1.6LE-AT,2.98,12.8,2012,10.0,1.6L,0,9
9671,别克 君越 2016款 30H 豪华型,15.8,33.19,2017,7.0,1.8L,0,4
9672,别克 凯越 2008款 1.6LE-AT,1.95,12.8,2009,9.0,1.6L,0,12
9673,别克 君威 2015款 1.6T 精英技术型,9.88,22.78,2016,5.33,1.6T,0,5
9674,别克 昂科威 2020款 28T 四驱全能运动旗舰型,19.98,30.38,2019,0.19,2.0T,0,2
9675,别克 凯越 2015款 1.5L 自动经典型,5.0,9.98,2016,6.17,1.5L,0,5
9676,别克GL8 2014款 2.4L CT豪华商务舒适版,14.98,31.47,2015,12.7,2.4L,0,6
9677,别克GL8 2017款 ES 28T 旗舰型 国V,29.98,43.41,2018,5.2,2.0T,0,3
9678,别克 英朗 2016款 15N 自动进取型,5.88,13.01,2016,5.8,1.5L,0,5
9679,别克 威朗 2018款 三厢 15S 自动领先型,8.18,16.81,2018,2.57,1.5L,0,3
9680,别克GL8 2017款 ES 28T 旗舰型 国V,28.8,43.41,2017,12.0,2.0T,0,4
9681,别克 君威 2019款 20T 精英型 国V,13.38,19.84,2019,3.29,1.5T,0,2
9682,别克 英朗 2016款 15N 自动精英型,6.18,13.77,2017,7.2,1.5L,0,4
9683,别克 凯越 2013款 1.5L 自动经典型,4.1,11.06,2014,4.92,1.5L,0,7
9684,别克GL6 2018款 18T 6座豪华型,9.8,16.92,2018,4.36,1.3T,0,3
9685,别克GL8 2011款 3.0L GT豪华商务豪雅版,11.8,39.95,2012,15.39,3.0L,0,9
9686,别克 英朗 2018款 18T 自动精英型,7.28,14.53,2018,1.4,1.3T,0,3
9687,别克 英朗 2017款 15N 自动精英型,6.75,13.77,2017,2.0,1.5L,0,4
9688,别克 凯越 2011款 1.6LE-MT,2.88,11.71,2011,8.6,1.6L,1,10
9689,别克 君威 2014款 2.0L 领先时尚型,7.88,19.42,2014,4.36,2.0L,0,7
9690,别克 昂科拉 2017款 18T 自动两驱都市领先型,7.18,16.27,2017,2.76,1.4T,0,4
9691,别克 君威 2015款 2.0L 领先时尚型,7.8,19.42,2015,7.4,2.0L,0,6
9692,别克 凯越 2015款 1.5L 自动尊享型,3.85,11.5,2014,8.7,1.5L,0,7
9693,别克 凯越 2013款 1.5L 自动经典型,3.8,11.06,2014,7.6,1.5L,0,7
9694,别克 凯越 2011款 1.6LE-AT,3.28,12.8,2011,13.0,1.6L,0,10
9695,别克 君越 2014款 2.0T SIDI 精英技术型,10.2,29.3,2014,7.58,2.0T,0,7
9696,别克 君越 2009款 2.4L舒适版,4.58,23.87,2009,12.0,2.4L,0,12
9697,别克GL6 2018款 18T 6座精英型,9.58,15.73,2018,3.05,1.3T,0,3
9698,别克 昂科拉 2017款 18T 自动两驱都市领先型,7.68,16.27,2017,2.2,1.4T,0,4
9699,别克 君威 2019款 GS 28T 精英型 国VI,16.98,23.75,2020,1.34,2.0T,0,1
9700,别克GL6 2019款 18T 6座互联豪华型 国VI,10.58,16.92,2019,2.6,1.3T,0,2
9701,别克 昂科威 2017款 20T 两驱精英型,12.98,25.61,2017,2.5,1.5T,0,4
9702,别克 凯越 2013款 1.5L 自动经典型,4.38,11.06,2014,7.6,1.5L,0,7
9703,别克GL8 2017款 ES 28T 尊享型 国V,29.3,35.81,2018,1.31,2.0T,0,3
9704,别克GL8 2018款 28T 尊贵型 国VI,23.88,29.62,2019,2.42,2.0T,0,2
9705,别克 君越 2012款 2.4L SIDI雅致版,6.5,25.61,2012,15.82,2.4L,0,9
9706,别克 君威 2014款 GS 2.0T 燃情运动版,9.68,28.21,2014,6.0,2.0T,0,7
9707,别克 英朗 2012款 XT 1.6L 自动时尚版,3.9,16.27,2012,8.0,1.6L,0,9
9708,别克 威朗 2018款 三厢 15S 自动进取型,8.68,15.95,2019,5.28,1.5L,0,2
9709,别克GL8 2017款 25S 尊贵型 国V,20.8,29.3,2018,7.81,2.5L,0,3
9710,别克 君越 2016款 改款 28T 精英型,13.95,29.29,2017,8.5,2.0T,0,4
9711,别克 君越 2013款 2.4L SIDI领先舒适型,11.18,25.61,2017,5.92,2.4L,0,4
9712,别克 威朗 2018款 三厢 15S 自动领先型,8.5,16.81,2018,4.0,1.5L,0,3
9713,别克GL8 2018款 28T 豪华型 国VI,23.5,27.45,2020,2.1,2.0T,0,1
9714,别克 昂科威 2017款 20T 四驱豪华型,13.8,28.21,2018,6.0,1.5T,0,3
9715,别克 英朗 2013款 GT 1.8L 自动时尚版,5.8,17.94,2016,6.58,1.8L,0,5
9716,别克GL8 2014款 2.4L CT豪华商务舒适版,14.58,31.47,2015,9.16,2.4L,0,6
9717,别克 凯越 2015款 1.5L 自动经典型,3.73,9.98,2015,8.43,1.5L,0,6
9718,别克GL8 2011款 2.4L CT豪华商务舒适版,9.5,31.26,2011,17.8,2.4L,0,10
9719,别克 英朗 2019款 18T 自动互联精英型 国VI,7.2,14.75,2019,3.41,1.3T,0,2
9720,别克 英朗 2010款 GT 1.8L 自动时尚版,3.28,17.62,2011,7.28,1.8L,0,10
9721,别克 君威 2015款 1.6T 领先技术型,9.68,20.61,2017,4.25,1.6T,0,4
9722,别克GL8 2017款 ES 28T 舒适型 国V,22.5,31.47,2017,12.3,2.0T,0,4
9723,别克 君越 2013款 2.4L SIDI领先舒适型,10.38,25.61,2014,10.0,2.4L,0,7
9724,别克 凯越 2015款 1.5L 手动经典型,4.58,9.43,2016,6.0,1.5L,1,5
9725,别克 威朗 2018款 两厢 15S 自动进取型,7.98,14.75,2018,4.2,1.5L,0,3
9726,别克 英朗 2010款 GT 1.8L 自动时尚版,3.3,17.62,2010,11.38,1.8L,0,11
9727,别克GL8 2011款 2.4L LT行政版,6.58,26.92,2012,11.56,2.4L,0,9
9728,别克 凯越 2015款 1.5L 手动经典型,3.98,9.43,2015,6.8,1.5L,1,6
9729,别克 君越 2011款 2.4L SIDI雅致版,5.68,25.5,2011,9.0,2.4L,0,10
9730,别克 君越 2013款 2.4L SIDI精英舒适型,12.5,27.78,2015,8.37,2.4L,0,6
9731,别克VELITE 5 2017款 时尚增程型,10.98,32.11,2017,2.72,1.5L,0,4
9732,别克 英朗 2015款 15N 自动精英型,6.3,13.77,2017,3.66,1.4L,0,4
9733,别克 昂科威 2017款 20T 两驱豪华型,12.58,26.69,2017,5.5,1.5T,0,4
9734,别克 君威 2009款 2.0L 精英版,3.98,21.7,2010,10.0,2.0L,0,11
9735,别克 君越 2013款 2.4L SIDI领先舒适型,6.58,25.61,2013,13.0,2.4L,0,8
9736,别克 昂科威 2020款 28T 四驱全能运动旗舰型,21.58,30.38,2019,0.21,2.0T,0,2
9737,别克 凯越 2008款 1.6LX-MT,1.55,11.27,2009,19.0,1.6L,1,12
9738,别克 昂科拉 2014款 1.4T 自动两驱都市精英型,5.8,17.36,2014,8.21,1.4T,0,7
9739,别克 昂科威 2016款 28T 四驱精英型,15.88,29.3,2017,8.4,2.0T,0,4
9740,日产 轩逸 2012款 1.6XL CVT豪华版,6.2,14.65,2012,11.0,1.6L,0,9
9741,日产 轩逸 2018款 1.6XV CVT尊享版,8.98,14.96,2018,3.91,1.6L,0,3
9742,日产NV200 2011款 1.6L 232座 尊雅型,3.88,11.48,2011,13.0,1.6L,1,10
9743,日产 天籁 2013款 2.0L XL舒适版,10.38,20.17,2015,12.1,2.0L,0,6
9744,日产 逍客 2012款 2.0XV 雷 CVT 2WD,7.3,19.63,2013,11.0,2.0L,0,8
9745,日产 劲客 2017款 1.5L 手动酷动版,6.78,10.83,2018,3.63,1.5L,1,3
9746,日产 天籁 2013款 2.0L XL舒适版,12.4,20.17,2016,8.13,2.0L,0,5
9747,日产 奇骏 2017款 2.0L CVT舒适版 2WD,14.3,21.36,2018,3.84,2.0L,0,3
9748,日产 奇骏 2014款 2.5L CVT豪华版 4WD,15.3,25.92,2016,6.37,2.5L,0,5
9749,日产 纳瓦拉 2017款 2.5L自动两驱豪华版QR25,12.6,17.56,2019,1.86,2.5L,0,2
9750,日产 奇骏 2017款 2.0L CVT舒适版 2WD,15.6,21.36,2018,4.31,2.0L,0,3
9751,日产 奇骏 2017款 2.0L CVT舒适版 2WD,14.38,21.36,2017,7.21,2.0L,0,4
9752,日产 骐达 2011款 1.6L CVT舒适型,4.78,12.52,2012,12.7,1.6L,0,9
9753,日产 骐达 2011款 1.6L 手动智能型,5.5,12.52,2013,9.15,1.6L,1,8
9754,日产 骊威 2013款 1.6XE 手动舒适版,4.88,9.31,2015,7.89,1.6L,1,6
9755,日产 骐达 2011款 1.6L CVT智能型,5.38,13.6,2011,3.07,1.6L,0,10
9756,日产 骐达 2011款 1.6L CVT智能型,6.68,13.6,2013,8.15,1.6L,0,8
9757,日产 逍客 2011款 2.0XL 火 CVT 2WD,5.3,17.89,2011,12.57,2.0L,0,10
9758,日产 骐达 2008款 1.6L 自动智能型,3.8,13.76,2010,11.0,1.6L,0,11
9759,日产 天籁 2020款 2.0L XL 舒适版,15.98,20.39,2020,1.43,2.0L,0,1
9760,日产 阳光 2011款 1.5XL CVT豪华版,4.9,11.16,2015,8.1,1.5L,0,6
9761,日产 逍客 2017款 2.0L CVT豪华版 国V,13.58,18.32,2018,3.33,2.0L,0,3
9762,日产 骐达 2016款 1.6L CVT智行版,8.68,13.34,2017,5.0,1.6L,0,4
9763,日产 途乐 2017款 5.6L 标准型(进口),59.8,97.48,2017,5.15,5.6L,0,4
9764,日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,16.98,21.63,2019,2.63,2.0L,0,2
9765,日产 骐达 2019款 1.6L CVT酷动版 国VI,8.8,12.36,2019,2.0,1.6L,0,2
9766,日产 蓝鸟 2016款 1.6L 手动时尚版,6.0,11.5,2016,4.75,1.6L,1,5
9767,日产 逍客 2016款 2.0L CVT精英版,10.8,16.59,2016,3.95,2.0L,0,5
9768,日产 奇骏 2014款 2.0L CVT舒适版 2WD,14.38,21.36,2016,3.0,2.0L,0,5
9769,日产 轩逸 2012款 1.6XE CVT舒适版,5.58,14.0,2012,7.12,1.6L,0,9
9770,日产 轩逸 2020款 1.6L XL CVT智享版,12.36,14.53,2020,2.2,1.6L,0,1
9771,日产 逍客 2017款 2.0L CVT智享版 国V,12.22,17.13,2018,4.05,2.0L,0,3
9772,日产 轩逸 2019款 1.6XE CVT舒适版 国VI,8.88,14.0,2018,3.9,1.6L,0,3
9773,日产 骊威 2015款 1.6XE 手动舒适版,5.18,9.31,2016,4.27,1.6L,1,5
9774,日产 骐达 2019款 1.6L CVT智享版 国V,10.68,13.67,2019,2.47,1.6L,0,2
9775,日产 奇骏 2014款 2.0L CVT舒适版 2WD,12.3,21.36,2015,9.3,2.0L,0,6
9776,日产 天籁 2010款 2.0L XL周年纪念版,5.99,23.32,2010,9.57,2.0L,0,11
9777,日产 轩逸 2012款 1.8XL CVT豪华版,6.8,16.28,2013,18.2,1.8L,0,8
9778,日产 阳光 2015款 1.5XE CVT舒适版,6.5,9.75,2018,1.77,1.5L,0,3
9779,日产 天籁 2008款 2.5L RX酷动版,5.6,27.12,2009,19.18,2.5L,0,12
9780,日产 逍客 2015款 2.0XL 酷火 CVT 2WD,9.1,18.11,2015,6.18,2.0L,0,6
9781,日产 蓝鸟 2016款 1.6L CVT智酷版,7.88,14.32,2016,4.04,1.6L,0,5
9782,日产 天籁 2018款 2.0L XL 智进版,14.5,20.28,2018,4.44,2.0L,0,3
9783,日产 奇骏 2014款 2.0L CVT舒适版 2WD,12.3,21.36,2016,3.21,2.0L,0,5
9784,日产 阳光 2016款 1.5XE CVT领先版,5.99,9.88,2017,0.78,1.5L,0,4
9785,日产 轩逸 2019款 1.6XV CVT智联尊享版 国VI,10.18,15.23,2019,1.26,1.6L,0,2
9786,日产 轩逸 2019款 经典 1.6XL CVT豪华版,10.6,12.87,2020,2.0,1.6L,0,1
9787,日产 轩逸 2012款 经典 1.6XE 手动舒适版,9.9,10.83,2015,11.32,1.6L,1,6
9788,日产 骐达 2016款 1.6L CVT智行版,8.6,13.34,2018,3.51,1.6L,0,3
9789,日产 奇骏 2014款 2.0L CVT智领版 2WD,14.38,22.77,2017,4.9,2.0L,0,4
9790,日产 奇骏 2014款 2.0L CVT舒适版 2WD,13.88,21.36,2016,7.0,2.0L,0,5
9791,日产 奇骏 2017款 2.0L CVT舒适版 2WD,14.9,21.36,2018,2.26,2.0L,0,3
9792,日产 轩逸 2019款 经典 1.6XE+ CVT智联领先版,7.78,12.62,2018,2.45,1.6L,0,3
9793,日产 奇骏 2014款 2.0L CVT舒适版 2WD,13.3,21.36,2016,6.65,2.0L,0,5
9794,日产 天籁 2019款 2.0L XL 舒适版,14.6,20.28,2019,5.83,2.0L,0,2
9795,日产 轩逸 2016款 经典 1.6XE 自动领先版,6.22,12.19,2016,7.49,1.6L,0,5
9796,日产 骊威 2015款 1.6XE CVT舒适版,5.98,10.4,2016,9.18,1.6L,0,5
9797,日产 奇骏 2017款 2.0L CVT舒适版 2WD,15.98,21.36,2018,5.73,2.0L,0,3
9798,日产 玛驰 2010款 1.5L 自动易智版,3.46,9.5,2012,4.45,1.5L,0,9
9799,日产 逍客 2016款 2.0L CVT精英版,10.5,16.59,2016,6.76,2.0L,0,5
9800,日产 逍客 2016款 2.0L CVT精英版,9.58,16.59,2016,6.51,2.0L,0,5
9801,日产 天籁 2011款 2.0L XL舒适版,6.18,21.69,2011,8.9,2.0L,0,10
9802,日产 骐达 2016款 1.6L CVT智行版,8.6,13.34,2017,5.1,1.6L,0,4
9803,日产 天籁 2016款 改款 2.0L XL舒适版,12.99,20.28,2017,7.33,2.0L,0,4
9804,日产 骐达 2016款 1.6L CVT智尊版,8.6,14.64,2018,5.1,1.6L,0,3
9805,日产 骐达 2011款 1.6L CVT舒适型,4.97,12.52,2013,11.69,1.6L,0,8
9806,日产 逍客 2016款 2.0L CVT精英版,9.78,16.59,2016,5.91,2.0L,0,5
9807,日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,16.28,21.63,2019,2.18,2.0L,0,2
9808,日产 天籁 2019款 2.0L XL 舒适版,15.4,20.28,2019,3.44,2.0L,0,2
9809,日产 天籁 2016款 改款 2.0L XL舒适版,13.58,20.28,2018,3.3,2.0L,0,3
9810,日产 轩逸 2019款 经典 1.6XE+ CVT智联领先版,8.48,12.62,2019,3.47,1.6L,0,2
9811,日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,15.38,21.63,2019,6.07,2.0L,0,2
9812,日产 骐达 2011款 1.6L CVT智能型,5.68,13.6,2012,10.22,1.6L,0,9
9813,日产 劲客 2020款 1.5L CVT智联豪华版,9.19,14.36,2020,3.71,1.5L,0,1
9814,日产 骐达 2011款 1.6L CVT智能型,6.95,13.6,2012,3.9,1.6L,0,9
9815,日产 天籁 2018款 2.0L XL 智进版,14.5,20.28,2018,4.19,2.0L,0,3
9816,日产 天籁 2013款 2.0L XL舒适版,10.48,20.17,2015,14.95,2.0L,0,6
9817,日产 轩逸 2020款 1.6L XL CVT智享版,11.98,14.53,2020,2.32,1.6L,0,1
9818,日产 逍客 2017款 2.0L CVT智享版 国V,12.68,17.13,2018,5.83,2.0L,0,3
9819,日产 奇骏 2017款 2.0L CVT舒适版 2WD,14.45,21.36,2018,4.22,2.0L,0,3
9820,日产 轩逸 2016款 经典 1.6XE 手动领先版,6.18,11.1,2017,6.33,1.6L,1,4
9821,日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,16.38,21.63,2019,3.39,2.0L,0,2
9822,日产 奇骏 2016款 2.5L CVT运动版 4WD,15.3,26.9,2016,7.91,2.5L,0,5
9823,日产 劲客 2018款 1.5L CVT智联豪华版,8.9,14.36,2018,2.9,1.5L,0,3
9824,日产 奇骏 2017款 2.0L CVT舒适版 2WD,15.2,21.36,2018,3.21,2.0L,0,3
9825,日产 逍客 2017款 2.0L CVT精英版 国V,10.98,16.69,2017,7.79,2.0L,0,4
9826,日产 天籁 2020款 2.0L XL 舒适版,15.88,20.39,2020,2.72,2.0L,0,1
9827,日产 轩逸 2012款 1.6XL CVT豪华版,7.3,14.65,2014,7.32,1.6L,0,7
9828,日产 轩逸 2016款 1.6XV CVT智享版,8.53,15.17,2017,8.0,1.6L,0,4
9829,日产 奇骏 2017款 2.0L CVT舒适版 2WD,15.5,21.36,2018,3.63,2.0L,0,3
9830,日产 楼兰 2015款 2.5L XL 两驱智尚版,17.8,29.18,2017,5.81,2.5L,0,4
9831,日产 天籁 2019款 2.0L XL 舒适版,15.88,20.28,2019,2.08,2.0L,0,2
9832,日产 骐达 2014款 1.6L CVT智能型,8.3,13.6,2016,3.96,1.6L,0,5
9833,日产 奇骏 2014款 2.0L CVT智领版 2WD,12.28,22.77,2015,8.28,2.0L,0,6
9834,日产 天籁 2016款 2.0L XL舒适版,13.8,20.17,2018,4.15,2.0L,0,3
9835,日产 逍客 2016款 2.0L CVT旗舰版,12.68,20.6,2017,4.82,2.0L,0,4
9836,日产 逍客 2017款 2.0L CVT智享版 国V,11.98,17.13,2019,1.59,2.0L,0,2
9837,日产 奇骏 2014款 2.5L CVT豪华版 4WD,13.98,25.92,2015,7.1,2.5L,0,6
9838,日产 劲客 2017款 1.5L 手动酷动版,7.08,10.83,2017,3.71,1.5L,1,4
9839,日产NV200 2011款 1.6L 232座 尊雅型,3.69,11.48,2011,16.0,1.6L,1,10
9840,日产 天籁 2016款 2.0L XE时尚版,12.68,19.08,2017,7.3,2.0L,0,4
9841,日产 天籁 2019款 2.0T XL Upper 智享版,19.58,24.94,2020,0.26,2.0T,0,1
9842,日产 天籁 2013款 2.0L XL舒适版,11.68,20.17,2015,4.89,2.0L,0,6
9843,日产 阳光 2011款 1.5XL CVT豪华版,4.8,11.16,2014,6.34,1.5L,0,7
9844,日产 轩逸 2012款 1.6XL CVT豪华版,5.98,14.65,2013,7.2,1.6L,0,8
9845,日产 天籁 2019款 2.0T XL Upper 智享版,19.3,24.94,2020,0.74,2.0T,0,1
9846,日产 纳瓦拉 2017款 2.5L自动两驱豪华版QR25,12.58,17.56,2019,1.55,2.5L,0,2
9847,日产 天籁 2019款 2.0L XL Upper 智行版,15.98,21.69,2019,1.87,2.0L,0,2
9848,日产 天籁 2020款 2.0L XL 舒适版,16.68,20.39,2020,1.62,2.0L,0,1
9849,日产 蓝鸟 2016款 1.6L CVT高能版,7.45,15.62,2016,8.14,1.6L,0,5
9850,日产 轩逸 2018款 经典 1.6XE+ CVT领先版,7.6,12.24,2018,3.56,1.6L,0,3
9851,日产 骐达 2011款 1.6L CVT智能型,6.8,13.6,2014,4.79,1.6L,0,7
9852,日产 奇骏 2017款 2.5L CVT豪华版 4WD,17.8,26.03,2018,4.38,2.5L,0,3
9853,日产 奇骏 2014款 2.0L CVT舒适版 2WD,9.99,21.36,2014,13.3,2.0L,0,7
9854,日产 奇骏 2017款 2.0L CVT舒适版 2WD,14.8,21.36,2018,4.56,2.0L,0,3
9855,日产 逍客 2016款 2.0L CVT豪华版,9.8,18.21,2016,7.29,2.0L,0,5
9856,日产 骐达 2011款 1.6L 手动舒适型,4.88,11.43,2014,6.0,1.6L,1,7
9857,日产 奇骏 2017款 2.0L CVT舒适版 2WD,15.58,21.36,2018,1.76,2.0L,0,3
9858,日产 骐达 2014款 1.6L CVT智能型,7.39,13.6,2015,8.99,1.6L,0,6
9859,日产 楼兰 2019款 2.5L XL 两驱智联豪华版 国VI,20.8,29.45,2019,2.85,2.5L,0,2
9860,日产 奇骏 2014款 2.0L CVT舒适版 2WD,12.5,21.36,2015,4.7,2.0L,0,6
9861,日产 天籁 2020款 2.0L XL 舒适版,15.68,20.39,2020,2.89,2.0L,0,1
9862,日产 天籁 2016款 2.0L XE时尚版,11.9,19.08,2017,5.22,2.0L,0,4
9863,日产 奇骏 2017款 2.5L CVT豪华版 4WD,17.38,26.03,2018,3.2,2.5L,0,3
9864,日产 楼兰 2019款 2.5L XL 两驱智联豪华版 国VI,19.38,29.45,2019,3.75,2.5L,0,2
9865,日产 奇骏 2017款 2.5L CVT豪华版 4WD,17.5,26.03,2017,3.6,2.5L,0,4
9866,日产 奇骏 2017款 2.0L CVT舒适版 2WD,14.5,21.36,2018,4.14,2.0L,0,3
9867,日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,16.9,21.63,2020,1.32,2.0L,0,1
9868,日产 奇骏 2017款 2.0L CVT舒适版 2WD,15.98,21.36,2019,1.99,2.0L,0,2
9869,日产 天籁 2016款 改款 2.0L XL舒适版,13.6,20.28,2018,3.82,2.0L,0,3
9870,日产 逍客 2016款 2.0L CVT精英版,10.39,16.59,2016,5.35,2.0L,0,5
9871,日产 蓝鸟 2016款 1.6L CVT智酷版,8.73,14.32,2018,3.15,1.6L,0,3
9872,日产 奇骏 2014款 2.5L CVT豪华版 4WD,15.98,25.92,2017,5.94,2.5L,0,4
9873,日产 轩逸 2016款 经典 1.6XE 手动领先版,5.8,11.1,2016,5.22,1.6L,1,5
9874,日产 轩逸 2019款 1.6XV CVT智联尊享版 国VI,9.28,15.23,2019,3.48,1.6L,0,2
9875,日产 奇骏 2019款 2.0L CVT智联舒适版 2WD,15.5,21.63,2019,3.72,2.0L,0,2
9876,日产 奇骏 2017款 2.0L CVT舒适版 2WD,15.5,21.36,2018,3.74,2.0L,0,3
9877,日产 劲客 2017款 1.5L CVT智领版,8.5,14.63,2017,1.68,1.5L,0,4
9878,日产 骐达 2014款 1.6L CVT舒适型,6.28,12.52,2015,9.2,1.6L,0,6
9879,日产 天籁 2016款 改款 2.0L XL舒适版,12.9,20.28,2017,4.84,2.0L,0,4
9880,日产 骊威 2013款 劲锐 1.6XL CVT舒适版,5.6,11.7,2014,6.33,1.6L,0,7
9881,日产 轩逸 2021款 经典 1.6XE CVT舒适版,10.36,11.79,2020,0.01,1.6L,0,1
9882,日产 奇骏 2017款 2.5L CVT豪华版 4WD,16.49,26.03,2017,6.51,2.5L,0,4
9883,日产 逍客 2010款 20S火 CVT 2WD,6.19,19.3,2011,9.8,2.0L,0,10
9884,日产 逍客 2017款 2.0L CVT智享版 国V,11.88,17.13,2018,4.22,2.0L,0,3
9885,日产 骐达 2011款 1.6L CVT舒适型,5.38,12.52,2012,8.08,1.6L,0,9
9886,日产GT-R 2012款 3.8T Premium Edition(进口),76.8,163.36,2012,3.6,3.8T,0,9
9887,日产 骐达 2016款 1.6L CVT智行版,8.8,13.34,2018,4.75,1.6L,0,3
9888,日产 奇骏 2014款 2.0L CVT舒适版 2WD,13.8,21.36,2017,8.85,2.0L,0,4
9889,日产 天籁 2019款 2.0L XL Upper 智行版,16.65,21.69,2019,0.69,2.0L,0,2
9890,日产 楼兰 2015款 2.5L XL 两驱智尚版,16.49,29.18,2017,10.0,2.5L,0,4
9891,日产 轩逸 2014款 1.6XV CVT尊享版,6.5,14.96,2015,10.4,1.6L,0,6
9892,日产 奇骏 2014款 2.0L CVT舒适版 2WD,11.38,21.36,2015,12.25,2.0L,0,6
9893,日产 奇骏 2014款 2.0L CVT舒适版 2WD,13.98,21.36,2017,6.44,2.0L,0,4
9894,日产 骐达 2011款 1.6L CVT舒适型,5.8,12.52,2013,8.4,1.6L,0,8
9895,日产 轩逸 2012款 经典 1.6XE 自动舒适版,5.98,11.92,2015,6.2,1.6L,0,6
9896,日产 轩逸 2014款 1.6XV CVT尊享版,7.9,14.96,2015,7.54,1.6L,0,6
9897,日产 逍客 2011款 2.0XL 火 CVT 2WD,6.38,17.89,2012,8.56,2.0L,0,9
9898,日产 奇骏 2014款 2.0L CVT舒适版 2WD,10.6,21.36,2014,6.24,2.0L,0,7
9899,日产 骐达 2011款 1.6L CVT舒适型,6.5,12.52,2014,5.17,1.6L,0,7
9900,日产 轩逸 2012款 1.6XL CVT豪华版,6.38,14.65,2012,11.42,1.6L,0,9
9901,日产 轩逸 2012款 经典 1.6XE 手动舒适版,5.58,10.83,2016,5.69,1.6L,1,5
9902,日产 逍客 2016款 2.0L CVT精英版,9.58,16.59,2016,7.53,2.0L,0,5
9903,日产 轩逸 2016款 1.6XE CVT舒适版,7.56,14.0,2017,3.45,1.6L,0,4
9904,日产 骐达 2008款 1.6L 自动智能型,3.58,13.76,2009,10.73,1.6L,0,12
9905,日产 奇骏 2017款 2.0L CVT舒适版 2WD,15.7,21.36,2018,2.44,2.0L,0,3
9906,日产 奇骏 2014款 2.5L CVT至尊版 4WD,10.9,29.07,2014,8.0,2.5L,0,7
9907,日产 蓝鸟 2016款 1.6L CVT炫酷版,7.69,13.45,2016,7.28,1.6L,0,5
9908,日产 骐达 2011款 1.6L CVT智能型,5.18,13.6,2012,13.02,1.6L,0,9
9909,日产 骐达 2019款 1.6L CVT智行版 国VI,9.98,13.34,2019,1.26,1.6L,0,2
9910,日产 逍客 2019款 2.0L CVT豪华版,13.68,18.32,2019,2.9,2.0L,0,2
9911,日产 逍客 2019款 2.0L CVT智享版,13.98,16.81,2020,1.55,2.0L,0,1
9912,日产 逍客 2012款 2.0XV 雷 CVT 2WD,7.4,19.63,2013,8.85,2.0L,0,8
9913,日产 奇骏 2017款 2.0L CVT舒适版 2WD,14.7,21.36,2017,2.68,2.0L,0,4
9914,日产 骐达 2011款 1.6L CVT舒适型,6.18,12.52,2014,2.57,1.6L,0,7
9915,日产 逍客 2016款 2.0L CVT精英版,10.28,16.59,2017,4.0,2.0L,0,4
9916,日产 轩逸 2018款 经典 1.6XE+ 手动豪华版,7.08,11.38,2018,3.65,1.6L,1,3
9917,日产 奇骏 2014款 2.5L CVT豪华版 4WD,13.26,25.92,2015,10.06,2.5L,0,6
9918,日产 蓝鸟 2016款 1.6L CVT炫酷版,8.65,13.45,2017,2.97,1.6L,0,4
9919,日产 劲客 2019款 1.5L CVT智联豪华版,10.9,14.36,2020,1.9,1.5L,0,1
